"price","number_of_reviews","host_total_listings_count","bedrooms","minimum_nights","accommodates","price_level"
55,69,1,2,3,4,"Low"
82,69,1,2,2,4,"Medium"
395,199,2,1,4,4,"High"
97,11,1,1,2,2,"Medium"
18,158,1,2,1,4,"Low"
242,111,5,1,1,3,"Medium"
56,173,2,2,2,4,"Low"
431,186,1,1,2,2,"High"
394,243,1,2,2,3,"High"
395,123,2,1,5,2,"High"
40,115,12,1,1,3,"Low"
403,73,1,1,2,2,"High"
180,139,1,4,3,6,"Medium"
227,127,5,1,1,3,"Medium"
235,21,8,1,30,1,"Medium"
433,56,1,1,5,3,"High"
57,18,1,2,90,4,"Low"
48,38,1,1,3,2,"Low"
27,309,1,1,1,5,"Low"
33,602,2,1,1,2,"Low"
23,39,3,2,30,4,"Low"
420,78,1,1,2,4,"High"
364,98,2,1,30,2,"High"
18,78,1,1,1,6,"Low"
18,158,1,1,2,3,"Low"
23,241,1,1,1,2,"Low"
398,69,1,2,30,4,"High"
18,438,7,1,1,3,"Low"
109,2,3,3,5,5,"Medium"
363,94,4,5,3,10,"High"
334,20,3,2,30,5,"Medium"
14,403,4,1,1,2,"Low"
361,41,2,1,30,2,"High"
154,33,1,3,4,5,"Medium"
420,162,2,1,1,2,"High"
35,385,1,1,2,2,"Low"
76,816,2,2,1,5,"Medium"
144,10,1,1,21,2,"Medium"
18,143,1,1,2,4,"Low"
353,149,1,1,3,4,"High"
55,138,4,3,31,4,"Low"
395,436,6,1,1,2,"High"
52,55,6,2,2,4,"Low"
398,453,1,1,1,2,"High"
13,1,2,1,30,1,"Low"
73,242,2,2,3,5,"Medium"
80,1,1,2,90,4,"Medium"
355,18,3,1,2,1,"High"
334,345,2,1,1,3,"Medium"
53,1,4,2,31,3,"Low"
41,299,3,2,4,5,"Low"
122,79,5,2,2,6,"Medium"
417,92,5,1,1,2,"High"
63,242,1,2,2,6,"Low"
143,346,3,2,2,4,"Medium"
121,33,2,3,5,5,"Medium"
60,330,2,1,1,6,"Low"
26,106,12,1,1,3,"Low"
